"","ID","name","year","total_enrollment","female","asian","black","hispanic","multi_racial","native_american","white","disability","ESL","poverty","elementary","middle","high","mean_class_size","resp_rate_parent","outsiders_parent","resp_rate_student","outsiders_student","resp_rate_teacher","outsiders_teacher"
"113","08X367","Archimedes Academy for Math, Science and Technolog","2020-21",583,0.398,0.084,0.276,0.605,0,0.012,0.022,0.278,0.099,0.83,0,0.44253859348199,0.55746140651801,22.6428571428571,0.04,0.04,0.22,0.14,0.85,0.08
"114","08X371","Urban Institute of Mathematics","2020-21",373,0.523,0.056,0.102,0.681,0.003,0.011,0.145,0.247,0.059,0.68,0,1,0,23.75,0.09,0.09,0.7,0.15,0.93,0.07
"115","08X375","The Bronx Mathematics Preparatory School","2020-21",188,0.484,0.048,0.41,0.5,0,0.027,0.016,0.234,0.165,0.95,0,1,0,19.9375,0.73,0.04,0.63,0.16,0.95,0.05
"116","08X376","Antonia Pantoja Preparatory Academy: A College Boa","2020-21",405,0.449,0.037,0.205,0.701,0.01,0.025,0.022,0.272,0.153,0.86,0,0.437037037037037,0.562962962962963,22.125,0.64,0.1,0.89,0.25,1,0.03
"117","08X424","Bronx Academy for Multi-Media","2020-21",274,0.449,0.004,0.259,0.726,0,0,0.011,0.328,0.255,0.95,0,1,0,20.4285714285714,0.58,0.03,0.21,0.14,0.47,0
"118","08X448","Soundview Academy for Culture and Scholarship","2020-21",361,0.49,0.019,0.274,0.684,0.003,0.003,0.017,0.263,0.108,0.8,0,1,0,23.4404761904762,0.09,0.06,0.15,0.2,0.61,0.06
"119","08X467","Mott Hall Community School","2020-21",342,0.512,0.035,0.152,0.719,0,0.015,0.079,0.213,0.102,0.83,0,1,0,22.09375,0.13,0.14,0.28,0.09,0.71,0.05
"120","08X562","Blueprint Middle School","2020-21",558,0.538,0.271,0.093,0.538,0.005,0.023,0.07,0.199,0.203,0.93,0,1,0,24.2333333333333,0.12,0.14,0.45,0.16,0.79,0.05
"121","09X004","P.S./M.S. 004 Crotona Park West","2020-21",413,0.477,0.005,0.448,0.533,0.002,0.005,0.007,0.223,0.153,0.95,0.581113801452784,0.343825665859564,0,14.1333333333333,0.19,0.09,0.63,0.08,0.89,0.03
"122","09X022","J.H.S. 022 Jordan L. Mott","2020-21",354,0.475,0.011,0.246,0.72,0.006,0,0.017,0.254,0.291,0.95,0,1,0,21.1875,0.8,0,0.48,0.15,0.72,0
"123","09X117","I.S. 117 Joseph H. Wade","2020-21",405,0.452,0,0.21,0.773,0.002,0.005,0.01,0.279,0.323,0.94,0,1,0,22.6904761904762,0.3,0.02,0.53,0.2,0.91,0.02
"124","09X128","Mott Hall III","2020-21",354,0.531,0.006,0.328,0.638,0,0.003,0.025,0.215,0.096,0.91,0,1,0,21,0.29,0.01,0.68,0.18,0.54,0
"125","09X215","Kappa","2020-21",317,0.514,0.022,0.502,0.445,0.003,0.003,0.025,0.249,0.158,0.93,0,1,0,18.7619047619048,0.1,0.03,0.69,0.23,0.66,0
"126","09X218","P.S./I.S. 218 Rafael Hernandez Dual Language Magne","2020-21",1000,0.492,0.023,0.038,0.907,0.002,0.009,0.009,0.171,0.231,0.89,0.567,0.338,0,23.5185185185185,0.05,0.1,0.77,0.17,0.7,0.06
"127","09X219","I.S. 219 New Venture School","2020-21",285,0.481,0.004,0.404,0.565,0.004,0.004,0.021,0.4,0.218,0.95,0,1,0,15.8333333333333,0.58,0.02,0.43,0.21,0.45,0
"128","09X229","I.S. 229 Roland Patterson","2020-21",201,0.398,0.01,0.303,0.662,0.005,0,0.02,0.388,0.194,0.93,0,1,0,12.9814814814815,1,0.01,1,0.09,1,0.06
"129","09X231","Eagle Academy for Young Men","2020-21",485,0.002,0.006,0.515,0.452,0.002,0.01,0.008,0.301,0.064,0.83,0,0.375257731958763,0.624742268041237,16.8333333333333,0.09,0.11,0.39,0.17,0.45,0
"130","09X232","I.S. 232","2020-21",376,0.434,0,0.223,0.771,0,0,0.005,0.229,0.295,0.95,0,1,0,19.125,0.71,0.01,0.62,0.17,0.82,0.04
"131","09X241","Urban Assembly School for Applied Math and Science","2020-21",613,0.473,0.003,0.266,0.715,0.002,0.011,0.003,0.289,0.14,0.93,0,0.414355628058728,0.585644371941272,20.2777777777778,0.04,0.07,0.2,0.08,0.6,0.03
"132","09X303","I.S. X303 Leadership & Community Service","2020-21",328,0.491,0.009,0.302,0.68,0,0.003,0.006,0.305,0.159,0.94,0,1,0,23.3809523809524,0.83,0.03,0.97,0.1,0.94,0
"133","09X313","I.S. 313 School of Leadership Development","2020-21",239,0.423,0.004,0.243,0.728,0,0.008,0.017,0.255,0.351,0.92,0,1,0,14.1428571428571,0.98,0.02,0.95,0.22,0.8,0.18
"134","09X323","Bronx Writing Academy","2020-21",330,0.485,0.012,0.27,0.676,0,0.006,0.036,0.252,0.282,0.95,0,1,0,18.9642857142857,0.12,0.13,0.48,0.13,0.79,0.13
